device,traffic_source,sessions,purchases,conversion_rate
Tablet,Facebook,1033,8,0.7744433688286544
Tablet,Instagram,1483,15,1.0114632501685772
Mobile,Facebook,12204,136,1.114388725008194
Mobile,Instagram,18325,279,1.5225102319236017
Tablet,YouTube,668,11,1.6467065868263475
Mobile,YouTube,8124,162,1.9940915805022157
Tablet,Paid Ads,1027,23,2.239532619279455
Mobile,Paid Ads,12547,309,2.462740097234399
Tablet,Referral,615,16,2.6016260162601625
Desktop,Facebook,7190,228,3.1710709318497914
Tablet,Google,1643,64,3.8953134510042604
Mobile,Referral,8131,335,4.120034436108719
Desktop,Instagram,10981,474,4.316546762589928
Tablet,Direct,982,44,4.480651731160896
Desktop,YouTube,4609,240,5.207203297895422
Mobile,Google,20116,1214,6.034997017299662
Mobile,Direct,12139,754,6.211384792816542
Desktop,Paid Ads,7259,471,6.488497038159526
Tablet,Email,809,54,6.6749072929542645
Desktop,Referral,4581,472,10.303427199301463
Mobile,Email,10168,1068,10.50354051927616
Desktop,Direct,7110,1097,15.428973277074542
Desktop,Google,11853,1853,15.633173036362102
Desktop,Email,6237,1524,24.434824434824435
