user_id,device,location,traffic_source,customer_type
U000001,Mobile,Pune,Google,Returning
U000002,Tablet,Ahmedabad,Email,New
U000003,Desktop,Chennai,Direct,New
U000004,Mobile,Kolkata,Direct,New
U000005,Mobile,Mumbai,Referral,New
U000006,Mobile,Mumbai,Paid Ads,New
U000007,Mobile,Chennai,Paid Ads,New
U000008,Desktop,Chennai,Facebook,New
U000009,Desktop,Kolkata,YouTube,New
U000010,Desktop,Chennai,Facebook,New
U000011,Mobile,Chennai,Email,New
U000012,Tablet,Mumbai,Instagram,New
U000013,Desktop,Chennai,Direct,Returning
U000014,Mobile,Bangalore,Google,New
U000015,Mobile,Mumbai,Paid Ads,New
U000016,Mobile,Pune,Google,Returning
U000017,Mobile,Ahmedabad,Direct,New
U000018,Mobile,Kolkata,Facebook,New
U000019,Mobile,Chennai,Email,New
U000020,Mobile,Chennai,Instagram,New
U000021,Desktop,Delhi,Google,New
U000022,Mobile,Bangalore,Paid Ads,Returning
U000023,Mobile,Ahmedabad,YouTube,New
U000024,Mobile,Ahmedabad,Instagram,New
U000025,Mobile,Bangalore,Email,New
U000026,Desktop,Delhi,Instagram,New
U000027,Mobile,Bangalore,Google,Returning
U000028,Mobile,Delhi,Direct,Returning
U000029,Mobile,Bangalore,Paid Ads,New
U000030,Mobile,Delhi,Paid Ads,Returning
U000031,Desktop,Ahmedabad,Referral,New
U000032,Mobile,Delhi,Direct,New
U000033,Mobile,Pune,Google,New
U000034,Desktop,Ahmedabad,Google,Returning
U000035,Tablet,Ahmedabad,Google,Returning
U000036,Desktop,Delhi,Facebook,New
U000037,Mobile,Chennai,Facebook,Returning
U000038,Mobile,Chennai,YouTube,Returning
U000039,Desktop,Delhi,Instagram,Returning
U000040,Mobile,Hyderabad,Google,New
U000041,Mobile,Ahmedabad,Google,New
U000042,Mobile,Bangalore,Google,New
U000043,Mobile,Chennai,Direct,New
U000044,Desktop,Bangalore,Google,Returning
U000045,Mobile,Mumbai,Direct,New
U000046,Desktop,Delhi,Google,New
U000047,Mobile,Delhi,Facebook,Returning
U000048,Mobile,Kolkata,Instagram,New
U000049,Mobile,Bangalore,Email,New
U000050,Mobile,Chennai,Google,Returning
U000051,Tablet,Mumbai,Email,Returning
U000052,Desktop,Pune,YouTube,Returning
U000053,Desktop,Delhi,Facebook,New
U000054,Desktop,Hyderabad,Facebook,New
U000055,Mobile,Bangalore,Google,New
U000056,Desktop,Mumbai,Referral,Returning
U000057,Mobile,Ahmedabad,Email,Returning
U000058,Mobile,Kolkata,Google,New
U000059,Mobile,Delhi,Paid Ads,New
U000060,Mobile,Kolkata,Email,New
U000061,Mobile,Chennai,Google,New
U000062,Mobile,Mumbai,Instagram,New
U000063,Desktop,Hyderabad,Instagram,New
U000064,Mobile,Mumbai,Instagram,New
U000065,Mobile,Bangalore,Instagram,New
U000066,Mobile,Pune,Direct,Returning
U000067,Mobile,Pune,Email,Returning
U000068,Desktop,Pune,Instagram,New
U000069,Mobile,Chennai,Paid Ads,New
U000070,Tablet,Chennai,Google,New
